CommitHash,Date,PullRequest,LOC,Files,Errors,Warnings
ec149c422c89187149101c2bbb10f660b37afedc,2016-03-14 02:12:18 +0100,,3723,39,1,45
a13e99ffda972d43ab72850e68b1d44568594a81,2016-03-14 22:22:27 +0100,,3820,41,1,52
13fc2f1ae23d2da66588e41a37fe73ed35142a8b,2016-03-15 00:30:34 +0100,,3889,43,1,51
94ce9ff9139b759f5627fcd6cfb2dbee8a926476,2016-03-15 00:32:54 +0100,,3889,43,1,51
3b3a756835ad1b2ea6463c768330ccb7a91ccfa8,2016-03-16 01:18:11 +0100,,3964,45,1,50
4ba841c2d828378ad4e7fc77fdc58e7eb771d1a0,2016-03-17 00:27:09 +0100,,3968,45,1,53
87122b5bf54b9f9f04048f0261fdcfdf991a3760,2016-03-17 00:55:08 +0100,,4008,46,1,56
4e41be26d9188a2c5fdd5392793010ce040b20fc,2016-03-20 17:49:39 +0100,,4112,46,1,57
c1772829ed23e6a6b20dbddf450eaca0de8a7a1a,2016-03-21 23:53:52 +0100,,4272,52,1,61
06fbc378e2f3a71ad1f51c3d81f7f316e90c5ff5,2016-03-23 02:30:57 +0100,,4188,52,1,63
6f51323171cf39425b0a2ae22e12d0310843c1b2,2016-03-26 20:26:34 +0100,,4089,52,1,62
f5488f0d7b75a5f720b451269c9f226e7bf56c69,2016-03-26 20:36:01 +0100,,4079,52,1,62
a01353cf041748ac0a8beeccbb0b0cb8895f766a,2016-03-27 03:01:55 +0200,,4210,55,3,65
137b686dfeb6affb1a0a6d8971ee5698ac30de5b,2016-03-27 05:40:20 +0200,,4314,58,4,72
1b39e36b10b80e5e9fa98e97d7c7e4e840503b15,2016-03-27 17:46:13 +0200,,4406,63,4,78
495fd1997a2e8f820630421efd4d3c4dbb01abee,2016-03-27 21:40:05 +0200,,4648,66,4,86
380e9d7353dc18d2f4b14e7bf5c587b4b7c11125,2016-03-28 02:26:16 +0200,,4795,70,4,89
476a20c14d63a3b167e8b979480624b42be91273,2016-03-28 03:44:44 +0200,,4806,70,4,89
0871ff2b69350211ad170f04c01861597532df50,2016-03-28 16:38:53 +0200,,4867,71,4,91
1cade4af21aadf04e17d2b04fb426d325cf673bd,2016-03-28 19:01:21 +0200,,4895,71,4,89
68209ca9840aef03772baa631edf4ec86fc925ee,2016-03-28 19:42:46 +0200,,4917,71,4,92
83dba3401f0b86e32062d78e2868e7ad02093d45,2016-03-29 01:57:26 +0200,,4996,73,4,92
0ebc19ac238ebc2b0724b769e57a00ea26806b50,2016-04-06 00:45:59 +0200,,5318,77,5,95
3272e22dabb25329ea4ffb4251d00aea8c81f31e,2016-04-07 00:43:23 +0200,,5641,84,0,0
